Date,Close/Last,Volume,Open,High,Low
12-02-2021,$1084.6,24371620,$1099.06,$1113,$1056.65
12-01-2021,$1095,22934700,$1160.695,$1172.8399,$1090.76
11/30/2021,$1144.76,27092040,$1144.37,$1168,$1118
11/29/2021,$1136.99,19464470,$1100.99,$1142.67,$1100.19
11/26/2021,$1081.92,11680890,$1099.47,$1108.7827,$1081
11/24/2021,$1116,22560240,$1080.39,$1132.77,$1062
11/23/2021,$1109.03,36171700,$1167.51,$1180.4999,$1062.7
11/22/2021,$1156.87,33072510,$1162.33,$1201.95,$1132.43
11/19/2021,$1137.06,21642260,$1098.87,$1138.7199,$1092.7
11/18/2021,$1096.38,20898930,$1106.55,$1112,$1075.02
11/17/2021,$1089.01,31445370,$1063.51,$1119.64,$1055.5
11/16/2021,$1054.73,26542360,$1003.31,$1057.1999,$1002.18
11/15/2021,$1013.39,34775650,$1017.63,$1031.98,$978.6
11-12-2021,$1033.42,25573150,$1047.5,$1054.5,$1019.2
11-11-2021,$1063.51,22396570,$1102.77,$1104.97,$1054.68
11-10-2021,$1067.95,42802720,$1010.41,$1078.1,$987.31
11-09-2021,$1023.5,59105840,$1173.6,$1174.5,$1011.52
11-08-2021,$1162.94,33445720,$1149.785,$1197,$1133
11-05-2021,$1222.09,21628810,$1228,$1239.87,$1208
11-04-2021,$1229.91,25397410,$1234.41,$1243.49,$1217
11-03-2021,$1213.86,34628520,$1177.33,$1215.39,$1152.62
